Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
GO_Biological_Process_2023	Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001242)	1/48	0.0354134310062899	0.0482182874153438	0	0	30.300911854103344	101.22516915069232	TP53	1	48	0.020833333333333332	1.3167882186635447	Regulation Of Intrinsic Apoptotic Signaling Pathway	"Regulation Of Intrinsic Apoptotic Signaling
Pathway"
GO_Biological_Process_2023	Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway (GO:0010803)	1/48	0.0354134310062899	0.0482182874153438	0	0	30.300911854103344	101.22516915069232	CASP8	1	48	0.020833333333333332	1.3167882186635447	Regulation Of Tumor Necrosis Factor-Mediated Signaling Pathway	"Regulation Of Tumor Necrosis Factor-Mediated
Signaling Pathway"
GO_Biological_Process_2023	Positive Regulation Of miRNA Metabolic Process (GO:2000630)	1/49	0.0361386092201723	0.0489292405733794	0	0	29.668154761904763	98.50994756608031	TP53	1	49	0.02040816326530612	1.3104315248358156	Positive Regulation Of miRNA Metabolic Process	"Positive Regulation Of miRNA Metabolic
Process"
GO_Biological_Process_2023	Regulation Of Mitotic Metaphase/Anaphase Transition (GO:0030071)	1/49	0.0361386092201723	0.0489292405733794	0	0	29.668154761904763	98.50994756608031	RB1	1	49	0.02040816326530612	1.3104315248358156	Regulation Of Mitotic Metaphase/Anaphase Transition	"Regulation Of Mitotic Metaphase/Anaphase
Transition"
GO_Biological_Process_2023	Regulation Of TORC1 Signaling (GO:1903432)	1/50	0.0368632785936063	0.0497705890255413	0	0	29.06122448979592	95.91771596133704	ATM	1	50	0.02	1.3030272194322166	Regulation Of TORC1 Signaling	Regulation Of TORC1 Signaling
GO_Biological_Process_2023	Cell Cycle G1/S Phase Transition (GO:0044843)	1/52	0.0383110921224364	0.0511522061025328	0	0	27.9187675070028	91.07146109214372	CDKN1A	1	52	0.019230769230769232	1.2911356312089923	Cell Cycle G1/S Phase Transition	Cell Cycle G1/S Phase Transition
GO_Biological_Process_2023	Positive Regulation Of Telomere Maintenance (GO:0032206)	1/52	0.0383110921224364	0.0511522061025328	0	0	27.9187675070028	91.07146109214372	ATM	1	52	0.019230769230769232	1.2911356312089923	Positive Regulation Of Telomere Maintenance	Positive Regulation Of Telomere Maintenance
GO_Biological_Process_2023	Positive Regulation Of Transcription Initiation By RNA Polymerase II (GO:0060261)	1/52	0.0383110921224364	0.0511522061025328	0	0	27.9187675070028	91.07146109214372	TP53	1	52	0.019230769230769232	1.2911356312089923	Positive Regulation Of Transcription Initiation By RNA Polymerase II	"Positive Regulation Of Transcription
Initiation By RNA Polymerase II"
GO_Biological_Process_2023	Regulation Of Proteolysis (GO:0030162)	1/52	0.0383110921224364	0.0511522061025328	0	0	27.9187675070028	91.07146109214372	CASP8	1	52	0.019230769230769232	1.2911356312089923	Regulation Of Proteolysis	Regulation Of Proteolysis
GO_Biological_Process_2023	Negative Regulation Of Metabolic Process (GO:0009892)	1/53	0.0390342369458394	0.0519737630052337	0	0	27.380494505494507	88.80359995755282	RB1	1	53	0.018867924528301886	1.2842158382426523	Negative Regulation Of Metabolic Process	Negative Regulation Of Metabolic Process
