Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
GO_Molecular_Function_2023	Copper Ion Binding (GO:0005507)	1/45	0.0332348399957845	0.0592150045465004	0	0	32.371753246753244	110.19851603861096	TP53	1	45	0.022222222222222223	1.2275682330392172	Copper Ion Binding	Copper Ion Binding
GO_Molecular_Function_2023	Protein Kinase Inhibitor Activity (GO:0004860)	1/45	0.0332348399957845	0.0592150045465004	0	0	32.371753246753244	110.19851603861096	CDKN1A	1	45	0.022222222222222223	1.2275682330392172	Protein Kinase Inhibitor Activity	Protein Kinase Inhibitor Activity
GO_Molecular_Function_2023	rRNA Binding (GO:0019843)	1/46	0.0339615467251988	0.0592150045465004	0	0	31.650793650793652	107.05964425258333	MDM2	1	46	0.021739130434782608	1.2275682330392172	rRNA Binding	rRNA Binding
GO_Molecular_Function_2023	Ubiquitin-Protein Transferase Activity (GO:0004842)	2/412	0.0372384634845452	0.0633053879237269	0	0	7.345215759849906	24.168794064796792	MDM2;BRCA1	2	412	0.0048543689320388345	1.1985593255914244	Ubiquitin-Protein Transferase Activity	Ubiquitin-Protein Transferase Activity
GO_Molecular_Function_2023	Channel Activity (GO:0015267)	1/52	0.0383110921224364	0.0635403479103823	0	0	27.9187675070028	91.07146109214372	BAX	1	52	0.019230769230769232	1.1969504115556833	Channel Activity	Channel Activity
GO_Molecular_Function_2023	Receptor Tyrosine Kinase Binding (GO:0030971)	1/59	0.0433624594690451	0.0702058867594064	0	0	24.54064039408867	77.0124855419272	TP53	1	59	0.01694915254237288	1.1536264707770516	Receptor Tyrosine Kinase Binding	Receptor Tyrosine Kinase Binding
GO_Molecular_Function_2023	Transition Metal Ion Binding (GO:0046914)	2/456	0.0447728483587707	0.0708035741487537	0	0	6.618434429007117	20.55787251639286	MDM2;TP53	2	456	0.0043859649122807015	1.149944818667542	Transition Metal Ion Binding	Transition Metal Ion Binding
GO_Molecular_Function_2023	Ubiquitin Binding (GO:0043130)	1/80	0.0583683815937166	0.0902056806448348	0	0	17.998191681735985	51.13251964521233	MDM2	1	80	0.0125	1.0447661121806457	Ubiquitin Binding	Ubiquitin Binding
GO_Molecular_Function_2023	Protein Tyrosine Kinase Binding (GO:1990782)	1/85	0.0619086933629976	0.0935509144151965	0	0	16.922619047619047	47.08032820576258	TP53	1	85	0.011764705882352941	1.0289519631235315	Protein Tyrosine Kinase Binding	Protein Tyrosine Kinase Binding
GO_Molecular_Function_2023	Protein Kinase Activator Activity (GO:0030295)	1/88	0.0640269132494826	0.094648480455757	0	0	16.336617405582924	44.90040493421904	CDKN1A	1	88	0.011363636363636364	1.0238863540718397	Protein Kinase Activator Activity	Protein Kinase Activator Activity
GO_Molecular_Function_2023	mRNA 3'-UTR Binding (GO:0003730)	1/93	0.0675473625075365	0.0977280989470742	0	0	15.444875776397517	41.62280131809552	TP53	1	93	0.010752688172043012	1.0099805492479759	mRNA 3'-UTR Binding	mRNA 3'-UTR Binding
GO_Molecular_Function_2023	Histone Deacetylase Binding (GO:0042826)	1/99	0.0717555879791134	0.1016537496370773	0	0	14.494897959183673	38.18665714573386	TP53	1	99	0.010101010101010102	0.9928765971867128	Histone Deacetylase Binding	Histone Deacetylase Binding
GO_Molecular_Function_2023	Protein Kinase Regulator Activity (GO:0019887)	1/103	0.074551216817689	0.103458831502099	0	0	13.923669467787114	36.14959023219432	CDKN1A	1	103	0.009708737864077669	0.9852324309632429	Protein Kinase Regulator Activity	Protein Kinase Regulator Activity
GO_Molecular_Function_2023	Cysteine-Type Endopeptidase Activity (GO:0004197)	1/106	0.0766427792936723	0.1042341798393944	0	0	13.523809523809524	34.73725554308256	CASP8	1	106	0.009433962264150943	0.9819898464723953	Cysteine-Type Endopeptidase Activity	Cysteine-Type Endopeptidase Activity
GO_Molecular_Function_2023	Protein Phosphatase Binding (GO:0019903)	1/115	0.0828910261907882	0.1105213682543843	0	0	12.450501253132831	31.004592702550895	TP53	1	115	0.008695652173913044	0.9565537471571669	Protein Phosphatase Binding	Protein Phosphatase Binding
