Unnamed: 0	essentiality
ACH-000029	0.1732459927256536
ACH-000030	-0.2859123893716342
ACH-000074	0.4506496839239481
ACH-000090	0.0521803930540151
ACH-000093	2.3436297747162373
ACH-000103	0.1267518484889612
ACH-000118	0.3240311656990166
ACH-000133	0.1753080622731283
ACH-000155	0.3266622081754909
ACH-000164	0.2526592220174971
ACH-000200	2.682351173233817
ACH-000247	0.8189939015463523
ACH-000261	0.3168936418324652
ACH-000262	1.5593839595059298
ACH-000307	0.1871354563479274
ACH-000332	0.2867792552562756
ACH-000352	0.307879644497648
ACH-000383	0.3290740916002812
ACH-000424	0.2040139508543473
ACH-000476	0.2265086868155822
ACH-000480	0.2771239412299635
ACH-000493	0.2903115748119095
ACH-000507	0.1674930718303009
ACH-000518	0.0781587686118961
ACH-000524	0.0839121449401791
ACH-000525	0.3340443800893439
ACH-000545	0.0957676925990007
ACH-000552	0.2082281284941114
ACH-000563	0.1334394314737071
ACH-000579	1.1624886945897897
ACH-000595	0.9682731988311404
ACH-000618	-0.0147266896745916
ACH-000639	0.2438421156441002
ACH-000648	0.7687116336077209
ACH-000652	0.1452973007372097
ACH-000694	-0.0220918337942347
ACH-000697	0.3350300755851778
ACH-000698	0.3483610923104392
ACH-000702	0.2969873281190638
ACH-000706	0.1526446428631075
ACH-000717	0.1346470247429379
ACH-000739	1.094187170457701
ACH-000791	0.1896796992613072
ACH-000834	0.3555799498408708
ACH-000876	0.142583305673801
ACH-000884	0.260414621811896
ACH-000894	0.1788719413772176
ACH-000928	1.080130246567152
ACH-000936	0.1420877605317959
ACH-000944	0.5503742955968677
ACH-000946	0.5445439426513285
ACH-000953	0.3567438644183127
ACH-000958	0.5316130206101144
ACH-000981	1.22010291966285
ACH-001050	1.878916009243
ACH-001061	0.2147214510761996
ACH-001099	1.1978214447560032
ACH-001119	0.4890112465922128
ACH-001164	1.6883868806963551
ACH-001193	0.1097130094637077
ACH-001211	2.3325701629442412
ACH-001275	1.0514502512357733
ACH-001349	1.1214239049033357
ACH-001353	0.4708629708882904
ACH-001354	0.0142850895451136
ACH-001374	0.7351006704527826
ACH-001386	0.2211086918273363
ACH-001392	0.1456447741927434
ACH-001393	0.1761623202701806
ACH-001396	0.0748651201013211
ACH-001539	0.3664215000818097
ACH-001551	0.198953037848272
ACH-001566	1.4927033755769037
ACH-001607	0.3212463892825109
ACH-001610	-0.0507706838659978
ACH-001642	0.1829791112788923
ACH-001676	0.3805382952320881
ACH-001719	0.1550020527174879
ACH-001862	0.263740462294048
ACH-001992	0.3863928140085007
ACH-002021	0.6271751105647684
ACH-002059	0.8549119175338954
ACH-002105	1.9459612460435585
ACH-002202	0.1663845761729374
ACH-002249	0.1468795136838206
ACH-002282	0.9133633213127424
ACH-002470	0.6449092119569264
ACH-002471	0.2859303039427051
ACH-002528	0.4006807697532082
ACH-002647	1.0909854219095354
ACH-002669	0.4242795511859607
ACH-002778	0.1132048166245499
ACH-003590	0.216407595707395
ACH-000019	0.4122443552597716
ACH-000095	0.5561822562677765
ACH-000100	0.1489280940682945
ACH-000108	-0.0324841733856641
ACH-000143	0.3527058235601792
ACH-000148	0.4399235874638185
ACH-000159	1.1476519718581366
ACH-000176	0.1880455228247123
ACH-000190	0.0958294536367882
ACH-000228	-0.0080587170245519
ACH-000234	0.7344031948687882
ACH-000250	0.3111386972994576
ACH-000279	0.0597490362519497
ACH-000281	-0.2478784662782178
ACH-000295	-0.2439878079711578
ACH-000304	1.250402034468675
ACH-000322	0.4817170939471835
ACH-000354	0.191565351475147
ACH-000366	0.2206206821872351
ACH-000390	0.3088380932933995
ACH-000395	0.0919764960302101
ACH-000401	-0.0567476522942025
ACH-000402	-0.2953154845370933
ACH-000403	0.210701743406973
ACH-000448	1.120250397950216
ACH-000454	-0.0653778791023543
ACH-000460	0.1981240054103921
ACH-000461	-0.0907542154954083
ACH-000485	1.0525227577376084
ACH-000488	0.0520368417123339
ACH-000569	1.315480164620131
ACH-000580	1.6898912671795538
ACH-000583	0.0732573005665798
ACH-000584	0.1993421515744305
ACH-000591	0.1435698049794661
ACH-000596	-0.181249237485701
ACH-000602	0.2402883445163382
ACH-000604	0.0598160130922476
ACH-000608	0.3081083147758003
ACH-000616	0.0691405444235098
ACH-000630	-0.1266991298393917
ACH-000660	0.3956299858598928
ACH-000666	0.1335608043174538
ACH-000693	0.1969001851201069
ACH-000719	0.7209783552455088
ACH-000732	0.0204280760965753
ACH-000749	0.2945422772416914
ACH-000763	0.0369759518790613
ACH-000767	0.0974997531385393
ACH-000841	0.1960945784542233
ACH-000910	-0.0456359040537951
ACH-000959	0.600504869011986
ACH-000965	0.1547893858030533
ACH-000978	0.0983446172325767
ACH-000986	0.1708566525818528
ACH-000993	1.0177058902893714
ACH-001020	1.6115033591431007
ACH-001128	2.5925244973378407
ACH-001310	-0.5146999154606906
ACH-001318	0.0071286345330141
ACH-001376	0.2225698405079507
ACH-001415	-0.066194674370672
ACH-001431	0.5686896706491814
ACH-001511	0.1839466377878743
ACH-001530	1.315400793917513
ACH-001543	0.3335670486811108
ACH-001549	0.249780403220043
ACH-001624	1.5063671155112612
ACH-001630	0.2798218353988799
ACH-001690	0.432522730836916
ACH-001694	0.1448574067379728
ACH-001707	0.7061777874014677
ACH-001750	-0.1071982136819471
ACH-001850	0.1824542418869062
ACH-001853	0.4544135635039984
